Cluster,name,capacity,,,,,
Cluster 5,PV_MALAQUITA_2,9,SOLAR_6,,,,
Cluster 5,PV_NAHUEN,9,SOLAR_6,,,,
Cluster 5,PV_OLIVILLO,9,SOLAR_6,,,,
Cluster 5,PV_OVALLE_NORTE,9,SOLAR_6,,,,
Cluster 5,PV_OVEJERIA,9,SOLAR_6,,,,
Cluster 5,PV_PAINE,9,SOLAR_6,,,,
Cluster 5,PV_PASTRAN,9,SOLAR_6,,,,
Cluster 5,PV_PLANTA_FOTOVOLTAICA_CALDERAZA,9,SOLAR_6,,,,
Cluster 5,PV_PLANTA_FOTOVOLTAICA_LA_PAZ,9,SOLAR_6,,,,
Cluster 5,PV_PMGD_PARQUE_JOTABECHE,9,SOLAR_6,,,,
Cluster 5,PV_PORTEZUELO_VERANO,9,SOLAR_6,,,,
Cluster 5,PV_RUCASOL,9,SOLAR_6,,,,
Cluster 5,PV_TAMARAMA,9,SOLAR_6,,,,
Cluster 5,PV_VALLE_SOLAR_ESTE,9,SOLAR_6,,,,
Cluster 5,PV_VALLE_SOLAR_OESTE,9,SOLAR_6,,,,
